,Date,Open,High,Low,Close,Volume,Daily_Return,Monthly_Return,Year,Month,50_MA,200_MA
2015-12-01,251,15.900667190551758,16.229999542236328,15.891332626342772,16.000667572021484,40725000,0.04234347420944906,0.04234347420944906,2015,12,14.892600059509277,15.787746624946594
2016-02-01,290,12.826666831970217,13.09000015258789,12.614666938781738,12.795332908630373,67485000,-0.2003250582491889,0.003817939286909544,2016,2,13.12727996826172,15.444869952201843
2016-03-01,312,15.28933334350586,15.82800006866455,15.000666618347168,15.317999839782717,120193500,0.1971552400524741,0.1971552400524741,2016,3,12.945026626586914,15.202953300476075
2016-05-01,354,14.869333267211914,14.983332633972168,14.766667366027832,14.881999969482422,41835000,-0.028463237685115383,-0.0728111083172156,2016,5,15.545853481292724,14.807389993667602
2016-06-01,376,14.197999954223633,14.233332633972168,13.934666633605955,14.152000427246094,72646500,-0.04905251604174787,-0.04905251604174787,2016,6,14.697746829986572,14.593640027046204
2016-08-01,419,14.028667449951172,14.173333168029783,13.90999984741211,14.133999824523926,49147500,-0.0012719475818777637,-0.09702290457247609,2016,8,14.696653347015383,14.492393364906311
2016-09-01,440,13.480667114257812,13.665332794189451,13.303333282470703,13.60200023651123,38794500,-0.037639705293445846,-0.037639705293445846,2016,9,14.358600006103519,14.335820026397705
2016-10-01,461,13.499333381652832,13.499333381652832,13.053999900817873,13.182000160217283,70384500,-0.0308778171585794,-0.0308778171585794,2016,10,13.643493309020997,14.185200014114379
2016-11-01,482,12.733332633972168,12.792667388916016,12.5,12.626667022705078,53206500,-0.04212813918696323,-0.04212813918696323,2016,11,13.136746692657471,14.268886699676514
2017-01-01,523,16.615999221801758,17.05933380126953,16.51333236694336,16.795333862304688,61741500,0.3301478396558313,0.1789508297421598,2017,1,14.283026733398437,14.280353384017944
2017-02-01,542,16.279333114624023,16.733333587646484,16.260000228881836,16.666000366210938,91171500,-0.007700561188844546,-0.007700561188844546,2017,2,16.140853385925293,14.465273356437683
2017-03-01,565,18.582000732421875,18.64533233642578,18.42133331298828,18.553333282470703,49419000,0.11324450226739402,0.11324450226739402,2017,3,17.278480110168456,14.765456714630126
2017-05-01,606,22.512666702270508,22.85933303833008,22.3439998626709,22.733999252319336,149451000,0.2253323381949135,0.08577703460392128,2017,5,20.211786766052246,16.00865005493164
2017-06-01,628,24.247333526611328,24.45133209228516,23.974666595458984,24.10733222961425,87727500,0.0604087719917914,0.0604087719917914,2017,6,22.49533332824707,17.139036712646483
2017-07-01,648,22.36666679382324,22.766000747680664,21.402666091918945,21.564666748046875,128026500,-0.10547270255162788,-0.10547270255162788,2017,7,22.902826652526855,17.965923376083374
2017-08-01,671,23.56999969482422,23.895999908447266,23.521333694458008,23.726667404174805,61092000,0.10025662262199075,0.10025662262199075,2017,8,22.99433319091797,19.158643355369566
2017-10-01,713,21.34866714477539,22.1299991607666,21.345333099365234,22.10199928283692,85084500,-0.06847434971217303,-0.02805631023319366,2017,10,23.383159980773925,21.20966667175293
2017-11-01,734,20.570667266845703,20.71333312988281,20.30266761779785,20.59000015258789,65274000,-0.06841006150168316,-0.06841006150168316,2017,11,22.035386505126954,21.580313291549682
